Component,Entry Date,Exit Date,Signal,Entry Price,Exit Price,Holding Days Actual,Return,ΔStorage,ΔTemp/HDD/CDD,Price Momentum,Basis Deviation,ΔLNG Feed Gas,Nuclear Drop,Managed Money,Upcoming Outage Risk,Forecasted Balance,SMA Crossover,Volatility Breakout,Confidence
ANR-SE-T,2024-04-02,2024-04-09,STRONG BUY,1.67,1.55,7,-0.07185628742514963,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-04-03,2024-04-10,STRONG BUY,1.665,1.645,7,-0.012012012012012022,-1,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-04-04,2024-04-11,STRONG BUY,1.795,1.725,7,-0.038997214484679577,-1,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-04-05,2024-04-12,STRONG BUY,1.705,1.565,7,-0.0821114369501467,-1,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-04-10,2024-04-17,STRONG BUY,1.645,1.455,7,-0.11550151975683887,-1,3,0,1,0,3,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-04-11,2024-04-18,STRONG BUY,1.725,1.495,7,-0.1333333333333333,-1,3,1,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-04-30,2024-05-07,STRONG BUY,1.595,1.905,7,0.19435736677115992,-1,3,1,1,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-05-01,2024-05-08,STRONG BUY,1.64,1.89,7,0.1524390243902439,-1,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-05-02,2024-05-09,STRONG BUY,1.61,1.93,7,0.19875776397515516,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-05-03,2024-05-10,STRONG BUY,1.66,1.83,7,0.10240963855421696,-1,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-05-07,2024-05-14,STRONG BUY,1.905,1.85,7,-0.028871391076115454,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-05-08,2024-05-15,STRONG BUY,1.89,1.94,7,0.02645502645502648,-1,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-05-09,2024-05-15,STRONG BUY,1.93,1.94,6,0.005181347150259072,-1,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-05-10,2024-05-17,STRONG BUY,1.83,2.215,7,0.21038251366120206,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-05-15,2024-05-22,STRONG BUY,1.94,2.47,7,0.27319587628865993,-1,3,1,1,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-05-17,2024-05-24,STRONG BUY,2.215,2.43,7,0.09706546275395048,-1,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-05-21,2024-05-28,STRONG BUY,2.5325,2.28,7,-0.0997038499506418,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-06-12,2024-06-19,STRONG BUY,2.56,2.435,7,-0.048828125,-1,3,1,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-06-13,2024-06-20,STRONG BUY,2.63,2.435,7,-0.07414448669201515,-1,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-06-14,2024-06-21,STRONG BUY,2.57,2.375,7,-0.0758754863813229,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-08-08,2024-08-15,STRONG BUY,1.925,2.0175,7,0.04805194805194807,-1,3,2,1,0,1,0,1,0,-1,1,0.5454545454545454
ANR-SE-T,2024-08-15,2024-08-22,STRONG BUY,2.0175,2.07,7,0.02602230483271364,-1,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-08-16,2024-08-23,STRONG BUY,2.095,1.915,7,-0.08591885441527453,-1,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-08-20,2024-08-27,STRONG BUY,2.115,1.9,7,-0.10165484633569753,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-08-21,2024-08-28,STRONG BUY,2.145,1.89,7,-0.11888111888111894,-1,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-08-22,2024-08-29,STRONG BUY,2.07,1.88,7,-0.09178743961352655,-1,3,1,1,0,3,0,1,0,1,-1,0.5454545454545454
ANR-SE-T,2024-09-05,2024-09-12,STRONG BUY,2.05,2.175,7,0.06097560975609757,-1,3,2,1,0,3,0,1,0,-1,1,0.5454545454545454
ANR-SE-T,2024-09-12,2024-09-19,STRONG BUY,2.175,2.32,7,0.06666666666666668,-1,3,1,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-09-14,2024-09-21,STRONG BUY,2.27,2.2275,7,-0.018722466960352416,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-09-18,2024-09-25,STRONG BUY,2.36,2.565,7,0.08686440677966105,-1,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-09-19,2024-09-26,STRONG BUY,2.32,2.61,7,0.12500000000000003,-1,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-09-20,2024-09-27,STRONG BUY,2.3025,2.605,7,0.13137893593919642,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-09-24,2024-10-01,STRONG BUY,2.495,2.57,7,0.030060120240480853,-1,3,2,2,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-09-25,2024-10-02,STRONG BUY,2.565,2.625,7,0.0233918128654971,-1,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-09-26,2024-10-03,STRONG BUY,2.61,2.6775,7,0.025862068965517373,-1,3,2,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-09-27,2024-10-04,STRONG BUY,2.605,2.675,7,0.026871401151631415,-1,3,1,2,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-10-02,2024-10-09,STRONG BUY,2.625,2.345,7,-0.10666666666666659,-1,3,1,1,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-10-03,2024-10-10,STRONG BUY,2.6775,2.23,7,-0.16713352007469662,-1,3,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-11-19,2024-11-26,STRONG BUY,1.92,2.72,7,0.4166666666666668,-1,1,1,1,0,0,0,1,0,1,1,0.5454545454545454
ANR-SE-T,2024-11-20,2024-11-27,STRONG BUY,2.005,3.155,7,0.57356608478803,-1,1,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SE-T,2024-11-21,2024-11-28,STRONG BUY,2.3,3.155,7,0.3717391304347826,-1,1,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-11-22,2024-11-29,STRONG BUY,2.755,3.155,7,0.1451905626134301,-1,1,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-11-27,2024-12-04,STRONG BUY,3.155,2.87,7,-0.09033280507131529,-1,1,2,2,0,3,0,1,0,1,1,0.6363636363636364
ANR-SE-T,2024-12-12,2024-12-19,STRONG BUY,3.05,2.9425,7,-0.03524590163934424,-1,3,2,1,0,1,0,1,0,-1,1,0.5454545454545454
ANR-SE-T,2024-12-23,2024-12-30,STRONG BUY,2.99,2.635,7,-0.11872909698996668,-1,3,1,1,0,3,0,1,0,1,0,0.5454545454545454
ANR-SW,2023-03-08,2023-03-15,STRONG BUY,2.4913,2.426,7,-0.026211215028298356,-1,3,0,1,0,3,0,1,0,1,1,0.5454545454545454
ANR-SW,2023-03-14,2023-03-21,STRONG BUY,2.53,2.1001,7,-0.1699209486166008,-1,3,1,1,0,0,0,1,0,1,1,0.5454545454545454
ANR-SW,2023-05-17,2023-05-24,STRONG BUY,2.3133,2.0471,7,-0.11507370423204945,-1,3,2,2,0,3,0,1,0,-1,1,0.5454545454545454
ANR-SW,2023-05-18,2023-05-25,STRONG BUY,2.0613,1.975,7,-0.041866783098044945,-1,1,1,1,0,3,0,1,0,1,-1,0.5454545454545454
ANR-SW,2023-06-08,2023-06-15,STRONG BUY,1.93,1.9492,7,0.009948186528497464,-1,3,2,1,0,3,0,1,0,-1,1,0.5454545454545454
