Date,Item,Value
2015-01-11,IESO - Biofuel,64.0
2015-01-11,IESO - Hydro,112517.0
2015-01-11,IESO - Natural Gas,44710.0
2015-01-11,IESO - Nuclear Power,271863.0
2015-01-11,IESO - PeakLoad,19657
2015-01-11,IESO - Total Generation,460216.0
2015-01-11,IESO - Wind,31062.0
2015-01-11,ISONE - Coal,33054
2015-01-11,ISONE - Hydro,24198
2015-01-11,ISONE - Natural Gas,116678
2015-01-11,ISONE - Nuclear Power,97066
2015-01-11,ISONE - Other,21213
2015-01-11,ISONE - PeakLoad,18634
2015-01-11,ISONE - Residual Oil,9561
2015-01-11,ISONE - Solar Thermal,427
2015-01-11,ISONE - Total Generation,308406
2015-01-11,ISONE - Wind,6209
2015-01-11,MISO - PeakLoad,86071
2015-01-11,NYISO - PeakLoad,21443
2015-01-11,PJM - PeakLoad,110363
2015-01-11,SPP - Coal,395866
2015-01-11,SPP - Diesel,68
2015-01-11,SPP - Hydro,2457
2015-01-11,SPP - Natural Gas,142224
2015-01-11,SPP - Nuclear Power,60949
2015-01-11,SPP - PeakLoad,29557
2015-01-11,SPP - Total Generation,664701
2015-01-11,SPP - Wind,63136
2015-01-12,AESO - PeakLoad,10874
2015-01-12,BPA - PeakLoad,7617
2015-01-12,CAISO - Biogas,4083.0
2015-01-12,CAISO - Biomass,7489.0
2015-01-12,CAISO - Geothermal Steam,25466.0
2015-01-12,CAISO - Hydro,31789.0
2015-01-12,CAISO - Nuclear Power,54375.0
2015-01-12,CAISO - PeakLoad,29410
2015-01-12,CAISO - Power Imports,178856.0
2015-01-12,CAISO - Solar PV,19191.0
2015-01-12,CAISO - Solar Thermal,0.0
2015-01-12,CAISO - Thermal Power,252668.0
2015-01-12,CAISO - Total Generation,591611.0
2015-01-12,CAISO - Wind,17694.0
2015-01-12,ERCOT - PeakLoad,48382
2015-01-12,IESO - Biofuel,1061.0
2015-01-12,IESO - Hydro,116511.0
2015-01-12,IESO - Natural Gas,76959.0
2015-01-12,IESO - Nuclear Power,263748.0
2015-01-12,IESO - PeakLoad,20306
2015-01-12,IESO - Total Generation,484478.0
2015-01-12,IESO - Wind,26199.0
2015-01-12,ISONE - Coal,32847
2015-01-12,ISONE - Hydro,24480
2015-01-12,ISONE - Natural Gas,116346
2015-01-12,ISONE - Nuclear Power,96986
