Date,Item,LNG_Bcf,Region,Pipe_Bcf
2015-05-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-29,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-30,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-05-31,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-03,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-04,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-05,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-06,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-07,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-08,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-09,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-10,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-11,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-12,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-13,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-14,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-15,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-16,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-17,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-18,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-19,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-20,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-21,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-22,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-23,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-24,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-25,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-26,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-27,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-28,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-29,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-06-30,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-01,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
2015-07-02,Calcasieu Pass LNG Feed Gas,0.0,Louisiana,0.0
