Date,item,value,region
09/24/2015,CONUS - Balance,20126.847660000007,Conus
09/25/2015,CONUS - Balance,19283.213789999994,Conus
09/26/2015,CONUS - Balance,20592.231330000002,Conus
09/27/2015,CONUS - Balance,21696.02467,Conus
09/28/2015,CONUS - Balance,19990.17839999999,Conus
09/29/2015,CONUS - Balance,18715.051830000004,Conus
09/30/2015,CONUS - Balance,17204.990059999996,Conus
10/01/2015,CONUS - Balance,16339.708730000013,Conus
10/02/2015,CONUS - Balance,15280.929779999991,Conus
10/03/2015,CONUS - Balance,17830.906830000007,Conus
10/04/2015,CONUS - Balance,21105.37588,Conus
10/05/2015,CONUS - Balance,20438.920929999993,Conus
10/06/2015,CONUS - Balance,20871.564380000003,Conus
10/07/2015,CONUS - Balance,20202.759529999996,Conus
10/08/2015,CONUS - Balance,19678.116099999992,Conus
10/09/2015,CONUS - Balance,16499.47714999999,Conus
10/10/2015,CONUS - Balance,15428.818599999999,Conus
10/11/2015,CONUS - Balance,18103.23826,Conus
10/12/2015,CONUS - Balance,15162.570699999997,Conus
10/13/2015,CONUS - Balance,15397.077359999996,Conus
10/14/2015,CONUS - Balance,16080.222709999987,Conus
10/15/2015,CONUS - Balance,16271.154460000005,Conus
10/16/2015,CONUS - Balance,15006.53353,Conus
10/17/2015,CONUS - Balance,10735.283580000003,Conus
10/18/2015,CONUS - Balance,10216.08692999999,Conus
10/19/2015,CONUS - Balance,11815.126079999987,Conus
10/20/2015,CONUS - Balance,17332.827730000005,Conus
10/21/2015,CONUS - Balance,16725.832080000007,Conus
10/22/2015,CONUS - Balance,16503.447239999994,Conus
10/23/2015,CONUS - Balance,14594.086899999995,Conus
10/24/2015,CONUS - Balance,16189.779940000008,Conus
10/25/2015,CONUS - Balance,16851.969000000012,Conus
10/26/2015,CONUS - Balance,12568.078039999993,Conus
10/27/2015,CONUS - Balance,12389.074600000007,Conus
10/28/2015,CONUS - Balance,13973.463470000002,Conus
10/29/2015,CONUS - Balance,11939.9182,Conus
10/30/2015,CONUS - Balance,9661.951579999994,Conus
10/31/2015,CONUS - Balance,12312.922299999991,Conus
11/01/2015,CONUS - Balance,15639.897700000001,Conus
11/02/2015,CONUS - Balance,14235.882299999997,Conus
11/03/2015,CONUS - Balance,13859.870679999993,Conus
11/04/2015,CONUS - Balance,12840.528269999995,Conus
11/05/2015,CONUS - Balance,13008.880560000005,Conus
11/06/2015,CONUS - Balance,12906.501739999992,Conus
11/07/2015,CONUS - Balance,12394.057230000006,Conus
11/08/2015,CONUS - Balance,7909.714220000009,Conus
11/09/2015,CONUS - Balance,5291.477540000007,Conus
11/10/2015,CONUS - Balance,8594.923529999985,Conus
11/11/2015,CONUS - Balance,8697.373520000008,Conus
11/12/2015,CONUS - Balance,8935.01449999999,Conus
11/13/2015,CONUS - Balance,5431.5432,Conus
11/14/2015,CONUS - Balance,6675.058480000007,Conus
11/15/2015,CONUS - Balance,10549.42257000001,Conus
11/16/2015,CONUS - Balance,9605.50555999999,Conus
11/17/2015,CONUS - Balance,8045.572150000007,Conus
11/18/2015,CONUS - Balance,8569.813439999998,Conus
11/19/2015,CONUS - Balance,7982.361130000005,Conus
11/20/2015,CONUS - Balance,4468.609299999996,Conus
11/21/2015,CONUS - Balance,-3103.8708999999944,Conus
11/22/2015,CONUS - Balance,-10513.563899999994,Conus
11/23/2015,CONUS - Balance,-9669.239520000003,Conus
11/24/2015,CONUS - Balance,-4316.29862999999,Conus
11/25/2015,CONUS - Balance,742.5432599999913,Conus
11/26/2015,CONUS - Balance,4174.465049999999,Conus
11/27/2015,CONUS - Balance,1493.443029999995,Conus
11/28/2015,CONUS - Balance,-5966.753980000009,Conus
11/29/2015,CONUS - Balance,-9838.10299,Conus
11/30/2015,CONUS - Balance,-10856.206999999995,Conus
12/01/2015,CONUS - Balance,-3850.931650000013,Conus
12/02/2015,CONUS - Balance,-2400.347299999994,Conus
12/03/2015,CONUS - Balance,-5080.03055000001,Conus
12/04/2015,CONUS - Balance,-5877.2353,Conus
12/05/2015,CONUS - Balance,-6651.513960000011,Conus
12/06/2015,CONUS - Balance,-2798.752509999991,Conus
12/07/2015,CONUS - Balance,-2894.7695600000006,Conus
12/08/2015,CONUS - Balance,-1070.0218100000056,Conus
12/09/2015,CONUS - Balance,1672.908139999985,Conus
12/10/2015,CONUS - Balance,5670.882489999989,Conus
12/11/2015,CONUS - Balance,3425.3648399999947,Conus
12/12/2015,CONUS - Balance,13802.136490000004,Conus
12/13/2015,CONUS - Balance,12442.834839999996,Conus
12/14/2015,CONUS - Balance,5683.487170000008,Conus
12/15/2015,CONUS - Balance,403.0660699999862,Conus
12/16/2015,CONUS - Balance,-6421.769220000002,Conus
12/17/2015,CONUS - Balance,-12982.572209999998,Conus
12/18/2015,CONUS - Balance,-17116.209204,Conus
12/19/2015,CONUS - Balance,-20315.362200000003,Conus
12/20/2015,CONUS - Balance,-11902.877200000017,Conus
12/21/2015,CONUS - Balance,-3771.8201800000097,Conus
12/22/2015,CONUS - Balance,607.7698200000013,Conus
12/23/2015,CONUS - Balance,2612.092839999983,Conus
12/24/2015,CONUS - Balance,-1663.2818599999882,Conus
12/25/2015,CONUS - Balance,-5296.099149999995,Conus
12/26/2015,CONUS - Balance,-7443.5181500000035,Conus
12/27/2015,CONUS - Balance,-13394.353130000003,Conus
12/28/2015,CONUS - Balance,-27686.565829999992,Conus
12/29/2015,CONUS - Balance,-26884.563120000006,Conus
12/30/2015,CONUS - Balance,-23928.181110000005,Conus
12/31/2015,CONUS - Balance,-24633.3891,Conus
01/01/2016,CONUS - Balance,-30802.615099999995,Conus
